"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T"
"   49P/Arend-Rigaux",3.567,0.6003,19.06,118.83,332.92,1.426,5.71,6.74,7860,0,4357,,,,8.48,,0.028,13.45,,,,,,
"   50P/Arend",4.087,0.5306,19.16,355.31,49.04,1.918,6.26,8.26,9404,0,1874,,,,1.9,,,,,,,,,
"   51P/Harrington",3.71,0.5420,5.42,83.72,269.16,1.699,5.72,7.15,2701,2,99,,,,4.8,,,,,,,,,
"   52P/Harrington-Abell",3.859,0.5400,10.23,336.84,139.66,1.775,5.94,7.58,3159,0,1164,,,,2.6,,,,,,,,,
"   53P/Van Biesbroeck",5.405,0.5511,6.61,148.90,134.26,2.426,8.38,12.6,6192,0,2920,,,,6.66,,,,,,,,,
"   54P/de Vico-Swift-NEAT",3.791,0.4261,6.06,358.82,1.79,2.176,5.41,7.38,5582,1,275,,,,,,,,,,,,,
"   55P/Tempel-Tuttle",10.34,0.9056,162.49,235.27,172.50,0.976,19.70,33.2,48407,,392,,,,3.6,,0.06,,,,,,,
"   56P/Slaughter-Burnham",5.086,0.5073,8.15,346.04,44.22,2.506,7.67,11.5,4940,0,1986,,,,3.12,,,,,,,,,
"   57P/duToit-Neujmin-Delporte",3.45,0.4998,2.85,188.81,115.13,1.726,5.17,6.41,5426,0,1389,,,,,,,,,,,,,
"   58P/Jackson-Neujmin",4.09,0.6605,13.46,160.61,200.44,1.389,6.79,8.27,9317,3,378,,,,,,,,,,,,,
"   59P/Kearns-Kwee",4.491,0.4764,9.34,312.86,127.75,2.352,6.63,9.52,3925,0,1270,,,,1.58,,,,,,,,,
"   60P/Tsuchinshan 2",3.51,0.5378,3.61,267.58,216.55,1.623,5.40,6.58,4866,0,1247,,,,,,,,,,,,,
"   61P/Shajn-Schaldach",3.692,0.4242,6.00,162.97,221.66,2.126,5.26,7.09,2569,3,895,,,,2.4,,,,,,,,,
"   62P/Tsuchinshan 1",3.438,0.5975,9.71,90.24,30.35,1.384,5.49,6.37,7200,0,3392,,,,,,,,,,,,,
"   63P/Wild 1",5.589,0.6510,19.78,358.03,168.95,1.951,9.23,13.2,24006,0,2091,,,,2.9,,,,,,,,,
"   64P/Swift-Gehrels",4.456,0.6873,8.95,300.00,97.14,1.393,7.52,9.41,6707,0,3436,,,,3.2,,,,,,,,,
"   65P/Gunn",3.884,0.2498,9.18,62.02,213.81,2.914,4.85,7.66,4309,0,3121,,,,10.8,,,,,,,,,
"   66P/du Toit",6.023,0.7866,18.67,22.00,257.34,1.285,10.76,14.8,16304,0,547,,,,,,,,,,,,,
"   67P/Churyumov-Gerasimenko",3.462,0.6409,7.04,50.14,12.80,1.243,5.68,6.44,5442,0,8608,,,,3.4,,,12.76129,662.2e-9,,,,,
"   68P/Klemola",4.899,0.6403,11.18,175.30,153.84,1.762,8.04,10.8,4656,0,1680,,,,4.4,,,,,,,,,
"   69P/Taylor",3.889,0.4136,22.04,104.85,343.67,2.280,5.50,7.67,2686,1,46,,,,,,,,,,,,,
"   70P/Kojima",3.675,0.4539,6.60,119.27,1.96,2.007,5.34,7.04,18799,0,2086,,,,3,,,,,,,,,
